id,station,date,pm25,pm10,so2,no2,co,o3,temp,pres,dewp,rain,wd,wspm
Aotizhongxin_2013-03-01,Aotizhongxin,2013-03-01,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,1.3916666666666666,1026.875,-18.745833333333334,0.0,N,3.2541666666666664
Changping_2013-03-01,Changping,2013-03-01,5.083333333333333,18.958333333333332,16.041666666666668,15.333333333333334,387.5,77.79166666666667,0.8125,1023.8583333333332,-19.583333333333332,0.0,N,2.1333333333333333
Dingling_2013-03-01,Dingling,2013-03-01,6.375,6.409090909090909,3.0,,204.16666666666666,81.95833333333333,0.8125,1023.8583333333332,-19.583333333333332,0.0,N,2.1333333333333333
Dongsi_2013-03-01,Dongsi,2013-03-01,6.416666666666667,9.875,8.478260869565217,28.52173913043478,395.6521739130435,72.78260869565217,1.325,1028.7833333333333,-21.46666666666667,0.0,NNW,3.3083333333333336
Guanyuan_2013-03-01,Guanyuan,2013-03-01,7.541666666666667,11.666666666666666,8.5,28.5,400.0,63.166666666666664,1.3916666666666666,1026.875,-18.745833333333334,0.0,N,3.2541666666666664
Gucheng_2013-03-01,Gucheng,2013-03-01,8.625,16.875,7.391304347826087,,869.5652173913044,77.1304347826087,1.6916666666666667,1024.8166666666666,-19.691666666666666,0.0,ENE,2.35
Huairou_2013-03-01,Huairou,2013-03-01,7.541666666666667,12.375,15.956521739130435,12.35,339.1304347826087,78.21739130434783,0.016666666666666646,1023.7833333333333,-21.941666666666666,0.0,NE,2.9333333333333336
Nongzhanguan_2013-03-01,Nongzhanguan,2013-03-01,6.458333333333333,10.833333333333334,9.25,27.708333333333332,341.6666666666667,72.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,NNW,3.3083333333333336
Shunyi_2013-03-01,Shunyi,2013-03-01,8.083333333333334,9.333333333333334,3.0,13.0,352.17391304347825,62.47826086956522,0.5416666666666666,1029.6416666666667,-20.6375,0.0,NE,3.1666666666666665
Tiantan_2013-03-01,Tiantan,2013-03-01,8.625,14.458333333333334,8.875,21.583333333333332,450.0,68.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,NNW,3.3083333333333336
Wanliu_2013-03-01,Wanliu,2013-03-01,8.0,14.291666666666666,11.652173913043478,32.43478260869565,395.6521739130435,46.34782608695652,1.3916666666666666,1026.875,-18.745833333333334,0.0,N,3.2541666666666664
Wanshouxigong_2013-03-01,Wanshouxigong,2013-03-01,8.041666666666666,10.75,7.434782608695652,18.26086956521739,326.0869565217391,57.21739130434783,2.0625,1025.9041666666667,-19.708333333333332,0.0,NE,2.6083333333333334
Aotizhongxin_2013-03-02,Aotizhongxin,2013-03-02,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,29.75,0.6166666666666667,1026.8500000000001,-15.9375,0.0,NE,1.4791666666666667
Changping_2013-03-02,Changping,2013-03-02,33.333333333333336,39.833333333333336,41.69565217391305,60.78260869565217,969.5652173913044,28.652173913043477,-0.3958333333333333,1023.7291666666666,-16.116666666666667,0.0,NNE,0.9291666666666667
Dingling_2013-03-02,Dingling,2013-03-02,34.041666666666664,41.708333333333336,25.083333333333332,56.375,875.0,24.708333333333332,-0.3958333333333333,1023.7291666666666,-16.116666666666667,0.0,NNE,0.9291666666666667
Dongsi_2013-03-02,Dongsi,2013-03-02,30.5,40.583333333333336,28.291666666666668,58.5,966.5833333333334,37.791666666666664,0.49166666666666664,1028.8500000000001,-16.962500000000002,0.0,N,0.7916666666666666
Guanyuan_2013-03-02,Guanyuan,2013-03-02,26.375,34.875,28.695652173913043,63.608695652173914,860.7826086956521,35.166666666666664,0.6166666666666667,1026.8500000000001,-15.9375,0.0,NE,1.4791666666666667
Gucheng_2013-03-02,Gucheng,2013-03-02,36.916666666666664,51.375,37.291666666666664,37.56521739130435,1479.0416666666667,39.583333333333336,0.8208333333333333,1024.8999999999999,-16.3375,0.0,ENE,1.0875000000000001
Huairou_2013-03-02,Huairou,2013-03-02,32.708333333333336,41.375,40.0112,49.8534875,765.1739130434783,35.00501666666667,-0.9916666666666667,1023.6875,-16.241666666666667,0.0,W,1.575
Nongzhanguan_2013-03-02,Nongzhanguan,2013-03-02,28.75,37.708333333333336,33.95652173913044,64.73913043478261,986.8695652173913,40.166666666666664,0.49166666666666664,1028.8500000000001,-16.962500000000002,0.0,N,0.7916666666666666
Shunyi_2013-03-02,Shunyi,2013-03-02,32.625,38.130434782608695,20.208333333333332,47.583333333333336,920.8333333333334,40.416666666666664,0.08333333333333333,1029.4666666666667,-16.275000000000002,0.0,N,1.3458333333333332
Tiantan_2013-03-02,Tiantan,2013-03-02,31.708333333333332,37.041666666666664,27.17391304347826,50.47826086956522,934.7826086956521,34.041666666666664,0.49166666666666664,1028.8500000000001,-16.962500000000002,0.0,N,0.7916666666666666
Wanliu_2013-03-02,Wanliu,2013-03-02,29.083333333333332,41.625,34.25,73.70833333333333,908.3333333333334,17.666666666666668,0.6166666666666667,1026.8500000000001,-15.9375,0.0,NE,1.4791666666666667
Wanshouxigong_2013-03-02,Wanshouxigong,2013-03-02,30.916666666666668,40.958333333333336,30.958333333333332,50.333333333333336,879.1666666666666,27.833333333333332,0.6791666666666667,1026.0208333333333,-15.475,0.0,SSW,1.0625
Aotizhongxin_2013-03-03,Aotizhongxin,2013-03-03,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,19.125,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,NNE,1.6583333333333332
Changping_2013-03-03,Changping,2013-03-03,57.541666666666664,82.66666666666667,37.875,58.791666666666664,1254.0,31.333333333333332,5.329166666666667,1011.3125,-12.995833333333332,0.0,NE,1.3625
Dingling_2013-03-03,Dingling,2013-03-03,43.833333333333336,65.33333333333333,19.782608695652176,45.75,804.3478260869565,41.0,5.329166666666667,1011.3125,-12.995833333333332,0.0,NE,1.3625
Dongsi_2013-03-03,Dongsi,2013-03-03,98.33333333333333,131.58333333333334,58.291666666666664,93.45833333333333,2132.875,20.333333333333332,4.9875,1016.4583333333334,-12.3125,0.0,N,1.2249999999999999
